id_pedido,id_cliente,Tipo_vivienda,Dirección,Comuna,Latitud,Longitud,fecha_entrega,día,a_ventana,b_ventana,peso_pedido,volumen_pedido
ORD-CL-202612-000001,14512240-4,True,"avenida. matta 5370, Estación Central, Santiago, Chile",Estación Central,-33.4593631,-70.6984636,2026-12-02,2,900,1020,188366,1260186
ORD-CL-202612-000002,17.313.403-1,False,"avenida. la florida 7678, Macul, Santiago, Chile",Macul,-33.52312259086,-70.578237933496,2026-12-03,3,540,1260,505552,4239399
ORD-CL-202612-000003,7941056 - 6,True,"avenida. kennedy 5315, Independencia, Santiago, Chile",Independencia,-33.402123811586,-70.580377304719,2026-12-04,4,540,660,236554,1898356
ORD-CL-202612-000004,18.305.966-9,False,"calle san antonio 8832, Lo Prado, Santiago, Chile",Lo Prado,-33.427017413377,-70.725276927827,2026-12-03,3,540,1260,317365,2514063
ORD-CL-202612-000005,20.329.309-9,True,"calle catedral 6899, Independencia, Santiago, Chile",Independencia,-33.438297133888,-70.659944515034,2026-12-04,4,540,660,245264,1188721
ORD-CL-202612-000006,20.741.726-2,True,"calle catedral 9181, Puente Alto, Santiago, Chile",Puente Alto,-33.604237001205,-70.555057684218,2026-12-03,3,1020,1140,113683,639530
ORD-CL-202612-000007,17.709.152-5,True,"calle estado 5634, Estación Central, Santiago, Chile",Estación Central,-33.484124523639,-70.679688741035,2026-12-04,4,540,660,295653,2404850
ORD-CL-202612-000008,8.336.332-0,True,"avenida. manuel montt 685, Recoleta, Santiago, Chile",Recoleta,-33.434187064428,-70.616980515261,2026-12-04,4,540,660,68827,451168
ORD-CL-202612-000009,8823811 - 3,True,"avenida. kennedy 7331, Independencia, Santiago, Chile",Independencia,-33.394146023642,-70.559264816442,2026-12-03,3,780,900,256803,2218962
ORD-CL-202612-000010,6.283.572-5,False,"avenida americo vespucio 2389, Independencia, Santiago, Chile",Independencia,-33.539851841921,-70.651174616135,2026-12-03,3,540,1260,164668,894081
ORD-CL-202612-000011,18.195.149 - 6,True,"avenida. pajaritos 5435, Ñuñoa, Santiago, Chile",Ñuñoa,-33.473154666885,-70.737927327229,2026-12-03,3,780,900,550225,4252727
