truck_id,route_id,stop_number,node_id,order_id,address,comuna,lat,lon,distance_from_previous_km,arrival,service_start,service_end,demand_g,demand_cm3,demand_kg,demand_m3,status
1,1,1,ORD-CL-202612-000390_20779131  3,ORD-CL-202612-000390,"avenida matta 4095, Providencia, Santiago, Chile",Providencia,-33.455283199497,-70.626941864375,0.9558,09:02,09:02,09:07,258594,1187689,258.594000,1.187689,Entregado
1,1,2,ORD-CL-202612-000547_19869239  1,ORD-CL-202612-000547,"avenida. matta 8387, Providencia, Santiago, Chile",Providencia,-33.455283199497,-70.626941864375,0.0000,09:07,09:07,09:12,57669,319816,57.669000,0.319816,Entregado
1,1,3,ORD-CL-202612-000425_151993937,ORD-CL-202612-000425,"avenida. irarrazaval 1804, Maipú, Santiago, Chile",Maipú,-33.453203592464,-70.61231562613,1.7740,09:17,09:17,09:22,87035,543018,87.035000,0.543018,Entregado
1,1,4,ORD-CL-202612-000272_54447564,ORD-CL-202612-000272,"avenida. irarrazaval 2771, Independencia, Santiago, Chile",Independencia,-33.454584113068,-70.602350267862,0.9555,09:24,09:24,09:29,105456,428062,105.456000,0.428062,Entregado
1,1,5,ORD-CL-202612-000385_86058721,ORD-CL-202612-000385,"avenida. providencia 3337, Las Condes, Santiago, Chile",Las Condes,-33.428348419768,-70.619115940584,3.7881,09:38,09:38,09:43,110554,664933,110.554000,0.664933,Entregado
1,1,6,ORD-CL-202612-000016_184607228,ORD-CL-202612-000016,"avenida. apoquindo 2937, Peñalolén, Santiago, Chile",Peñalolén,-33.417573009696,-70.599221776245,2.4630,09:49,09:49,09:54,41795,247166,41.795000,0.247166,Entregado
1,1,7,ORD-CL-202612-000387_112124510,ORD-CL-202612-000387,"avenida. americo vespucio 2037, Las Condes, Santiago, Chile",Las Condes,-33.413843337192,-70.584422823117,1.4830,09:57,09:57,10:02,42720,285211,42.720000,0.285211,Entregado
1,1,8,ORD-CL-202612-000446_197265134,ORD-CL-202612-000446,"avenida. vitacura 4260, Independencia, Santiago, Chile",Independencia,-33.386329090132,-70.564014888539,4.3546,10:13,10:13,10:18,6987,21784,6.987000,0.021784,Entregado
1,1,9,ORD-CL-202612-000300_8417845  7,ORD-CL-202612-000300,"calle compania de jesus 2116, Santiago, Santiago, Chile",Santiago,-33.439364903467,-70.662688288868,12.1205,10:47,10:47,10:52,12700,33343,12.700000,0.033343,Entregado
1,2,1,ORD-CL-202612-000494_11304512    5,ORD-CL-202612-000494,"avenida. recoleta 5362, Peñalolén, Santiago, Chile",Peñalolén,-33.506676602631,-70.582883438091,9.3111,11:25,11:25,11:30,386940,3259327,386.940000,3.259327,Entregado
1,2,2,ORD-CL-202612-000472_163021928,ORD-CL-202612-000472,"calle bandera 5901, La Florida, Santiago, Chile",La Florida,-33.537175594148,-70.604018853327,4.5305,11:41,11:41,11:46,83113,397724,83.113000,0.397724,Entregado
2,1,1,ORD-CL-202612-000380_17539021  0,ORD-CL-202612-000380,"calle huerfanos 438, Santiago, Santiago, Chile",Santiago,-33.437897605766,-70.643840457988,2.3080,09:06,09:06,09:11,209768,1448084,209.768000,1.448084,Entregado
2,1,2,ORD-CL-202612-000221_66346258,ORD-CL-202612-000221,"calle monjitas 1046, Ñuñoa, Santiago, Chile",Ñuñoa,-33.437257339525,-70.649783888142,0.8899,09:13,09:13,09:18,234608,1590227,234.608000,1.590227,Entregado
2,1,3,ORD-CL-202612-000467_54726521,ORD-CL-202612-000467,"calle amunategui 3124, Vitacura, Santiago, Chile",Vitacura,-33.439185,-70.6581195,0.9127,09:20,09:20,09:25,121074,704060,121.074000,0.704060,Entregado
2,2,1,ORD-CL-202612-000392_142453346,ORD-CL-202612-000392,"calle merced 5537, Peñalolén, Santiago, Chile",Peñalolén,-33.491494,-70.563254,9.4821,09:57,09:57,10:02,160368,1398171,160.368000,1.398171,Entregado
2,2,2,ORD-CL-202612-000397_115473403,ORD-CL-202612-000397,"avenida la florida 9375, La Reina, Santiago, Chile",La Reina,-33.538779748358,-70.572243122486,6.6397,10:18,10:18,10:23,239756,1879711,239.756000,1.879711,Entregado
2,2,3,ORD-CL-202612-000306_11843976    3,ORD-CL-202612-000306,"calle estado 1767, La Florida, Santiago, Chile",La Florida,-33.555156809071,-70.572873922332,2.9062,10:30,10:30,10:35,57125,387619,57.125000,0.387619,Entregado
