Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
1,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
1,1,0,K11,ORD-CL-202612-000402_21668211  6,"calle catedral 9848, La Reina, Santiago, Chile","(-33.4383, -70.6599)",6.11,11.5,09:11,"[09:00, 21:00]",09:11,5.0,4333.4,509.2,0.0,0.0,0.0,0.0,✅
1,2,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",6.12,11.5,09:27,—,—,—,—,—,—,0.0,0.0,—,🏠
1,3,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,15:00,—,—,—,—,0.0,0.0,—,🚗
1,4,0,K12,ORD-CL-202612-000316_199288401,"calle san diego 1862, Peñalolén, Santiago, Chile","(-33.4711, -70.6484)",2.26,4.8,15:04,"[09:00, 21:00]",15:04,5.0,1523.8,152.2,0.0,0.0,0.0,0.0,✅
1,5,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",2.5,5.4,15:15,—,—,—,—,—,—,0.0,0.0,—,🏠
2,0,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,09:00,—,—,—,—,0.0,0.0,—,🚗
2,1,6,K11,ORD-CL-202612-000189_192688723,"calle estado 3858, Peñalolén, Santiago, Chile","(-33.4915, -70.5633)",7.86,14.7,09:14,"[09:00, 21:00]",09:14,5.0,2017.5,236.8,0.0,0.0,0.0,0.0,✅
2,2,6,K11,ORD-CL-202612-000370_172258899,"avenida. tobalaba 9535, Peñalolén, Santiago, Chile","(-33.4622, -70.5520)",3.61,6.8,09:26,"[09:00, 21:00]",09:26,5.0,1274.3,194.0,0.0,0.0,0.0,0.0,✅
2,3,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.29,15.5,09:47,—,—,—,—,—,—,0.0,0.0,—,🏠
