Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Cierre_Relajado,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
1,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
1,1,0,K11,ORD-CL-202612-000029_221499706,"calle compania de jesus 7303, Independencia, Santiago, Chile","(-33.4394, -70.6599)",6.07,15.2,09:15,"[09:00, 11:00]",11:15,09:15,5.0,1487.9,171.4,0.0,0.0,0.0,0.0,✅
1,2,0,K11,ORD-CL-202612-000241_220312237,"calle amunategui 3146, Las Condes, Santiago, Chile","(-33.4392, -70.6581)",0.54,1.3,09:21,"[09:00, 21:00]",21:15,09:21,5.0,1.4,1.2,0.0,0.0,0.0,0.0,✅
1,3,0,K11,ORD-CL-202612-000216_52957852,"calle teatinos 535, La Florida, Santiago, Chile","(-33.4374, -70.6554)",0.66,1.7,09:28,"[09:00, 21:00]",21:15,09:28,5.0,509.7,100.3,0.0,0.0,0.0,0.0,✅
1,4,0,K11,ORD-CL-202612-000040_204734613,"avenida. libertador bernardo o'higgins 1672, Peñalolén, Santiago, Chile","(-33.4464, -70.6598)",1.35,3.4,09:36,"[09:00, 11:00]",11:15,09:36,5.0,1215.5,228.3,0.0,0.0,0.0,0.0,✅
1,5,0,K11,ORD-CL-202612-000252_10595944  8,"calle arturo prat 9278, Ñuñoa, Santiago, Chile","(-33.4534, -70.6484)",1.98,4.9,09:46,"[09:00, 21:00]",21:15,09:46,5.0,86.6,19.2,0.0,0.0,0.0,0.0,✅
1,6,0,K11,ORD-CL-202612-000012_115652150,"avenida. grecia 5499, Providencia, Santiago, Chile","(-33.4552, -70.6268)",2.5,6.2,09:57,"[09:00, 11:00]",11:15,09:57,5.0,223.9,41.0,0.0,0.0,0.0,0.0,✅
1,7,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",2.12,5.1,10:07,—,—,—,—,—,—,—,0.0,0.0,—,🏠
1,8,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
1,9,4,K12,ORD-CL-202612-000065_125088177,"avenida. grecia 5637, Recoleta, Santiago, Chile","(-33.4693, -70.5757)",5.36,15.3,15:15,"[11:00, 13:00]",13:15,15:15,5.0,2801.7,461.2,0.0,0.0,0.0,120.3,❌
1,10,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.34,15.7,15:35,—,—,—,—,—,—,—,0.0,0.0,—,🏠
2,0,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
2,1,6,K11,ORD-CL-202612-000034_18190145  8,"avenida matta 7432, Peñalolén, Santiago, Chile","(-33.4915, -70.5633)",7.86,19.7,09:19,"[09:00, 11:00]",11:15,09:19,5.0,641.8,74.7,0.0,0.0,0.0,0.0,✅
2,2,6,K11,ORD-CL-202612-000172_21961796  1,"avenida. tobalaba 7018, Peñalolén, Santiago, Chile","(-33.5101, -70.5608)",2.14,5.4,09:30,"[09:00, 21:00]",21:15,09:30,5.0,1648.3,236.7,0.0,0.0,0.0,0.0,✅
2,3,6,K11,ORD-CL-202612-000200_7995605  2,"avenida la florida 4780, Santiago, Santiago, Chile","(-33.5195, -70.5806)",2.83,7.1,09:42,"[09:00, 21:00]",21:15,09:42,5.0,134.5,27.9,0.0,0.0,0.0,0.0,✅
2,4,6,K11,ORD-CL-202612-000225_229042840,"avenida. la florida 934, Peñalolén, Santiago, Chile","(-33.5101, -70.5885)",1.27,3.1,09:50,"[09:00, 21:00]",21:15,09:50,5.0,1119.9,138.0,0.0,0.0,0.0,0.0,✅
2,5,6,K11,ORD-CL-202612-000185_83399781,"avenida. macul 791, Santiago, Santiago, Chile","(-33.4996, -70.5961)",1.48,3.6,09:58,"[09:00, 21:00]",21:15,09:58,5.0,27.8,11.9,0.0,0.0,0.0,0.0,✅
2,6,6,K11,ORD-CL-202612-000234_217198247,"avenida. vicuna mackenna 4674, Quinta Normal, Santiago, Chile","(-33.4962, -70.6162)",2.25,5.5,10:09,"[09:00, 21:00]",21:15,10:09,5.0,529.1,95.7,0.0,0.0,0.0,0.0,✅
2,7,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",3.21,7.7,10:22,—,—,—,—,—,—,—,0.0,0.0,—,🏠
2,8,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
2,9,4,K12,ORD-CL-202612-000076_211884031,"calle merced 1295, Recoleta, Santiago, Chile","(-33.4369, -70.6392)",4.4,12.6,15:12,"[11:00, 13:00]",13:15,15:12,5.0,1605.7,223.1,0.0,0.0,0.0,117.6,❌
2,10,4,K12,ORD-CL-202612-000110_161115011,"avenida. mapocho 2352, Recoleta, Santiago, Chile","(-33.4321, -70.6671)",3.09,9.0,15:26,"[11:00, 13:00]",13:15,15:26,5.0,1450.0,202.7,0.0,0.0,0.0,131.6,❌
2,11,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",7.28,22.2,15:53,—,—,—,—,—,—,—,0.0,0.0,—,🏠
3,0,3,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
3,1,3,K11,ORD-CL-202612-000007_177091525,"calle estado 5634, Estación Central, Santiago, Chile","(-33.4841, -70.6797)",6.04,15.1,09:15,"[09:00, 11:00]",11:15,09:15,5.0,2404.8,295.7,0.0,0.0,0.0,0.0,✅
3,2,3,K11,ORD-CL-202612-000047_14175945    6,"avenida. pajaritos 3788, La Reina, Santiago, Chile","(-33.4586, -70.7132)",6.01,15.0,09:35,"[09:00, 11:00]",11:15,09:35,5.0,30.0,8.8,0.0,0.0,0.0,0.0,✅
3,3,3,K11,ORD-CL-202612-000036_58822448,"calle merced 8895, Quinta Normal, Santiago, Chile","(-33.4278, -70.7083)",4.0,10.0,09:50,"[09:00, 11:00]",11:15,09:50,5.0,2221.7,275.0,0.0,0.0,0.0,0.0,✅
3,4,3,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",11.23,27.5,10:22,—,—,—,—,—,—,—,0.0,0.0,—,🏠
3,5,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
3,6,0,K12,ORD-CL-202612-000239_52073122,"calle san diego 2452, Estación Central, Santiago, Chile","(-33.4761, -70.6467)",2.2,6.3,15:06,"[09:00, 21:00]",21:15,15:06,5.0,881.4,115.0,0.0,0.0,0.0,0.0,✅
3,7,0,K12,ORD-CL-202612-000243_50530242,"avenida. departamental 1018, Quinta Normal, Santiago, Chile","(-33.5042, -70.6527)",3.65,10.4,15:21,"[09:00, 21:00]",21:15,15:21,5.0,676.1,66.3,0.0,0.0,0.0,0.0,✅
3,8,0,K12,ORD-CL-202612-000173_93122655,"calle morande 3445, Recoleta, Santiago, Chile","(-33.4386, -70.6539)",7.65,22.9,15:49,"[09:00, 21:00]",21:15,15:49,5.0,1528.2,210.1,0.0,0.0,0.0,0.0,✅
3,9,0,K12,ORD-CL-202612-000257_217834513,"calle morande 7161, Recoleta, Santiago, Chile","(-33.4386, -70.6539)",0.0,0.0,15:54,"[09:00, 21:00]",21:15,15:54,5.0,465.4,69.2,0.0,0.0,0.0,0.0,✅
3,10,0,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.41,17.1,16:16,—,—,—,—,—,—,—,0.0,0.0,—,🏠
4,0,7,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
4,1,7,K11,ORD-CL-202612-000041_58842814,"avenida. grecia 8422, Peñalolén, Santiago, Chile","(-33.4753, -70.5449)",8.23,20.6,09:20,"[09:00, 11:00]",11:15,09:20,5.0,1561.5,215.0,0.0,0.0,0.0,0.0,✅
4,2,7,K11,ORD-CL-202612-000246_8738877  8,"avenida. tobalaba 7259, Maipú, Santiago, Chile","(-33.4497, -70.5613)",3.83,9.6,09:35,"[09:00, 21:00]",21:15,09:35,5.0,415.5,81.2,0.0,0.0,0.0,0.0,✅
4,3,7,K11,ORD-CL-202612-000214_92456335,"avenida. irarrazaval 8877, Peñalolén, Santiago, Chile","(-33.4534, -70.5709)",1.24,3.1,09:43,"[09:00, 21:00]",21:15,09:43,5.0,703.4,113.7,0.0,0.0,0.0,0.0,✅
4,4,7,K11,ORD-CL-202612-000003_7941056  6,"avenida. kennedy 5315, Independencia, Santiago, Chile","(-33.4021, -70.5804)",6.38,15.8,10:04,"[09:00, 11:00]",11:15,10:04,5.0,1898.4,236.6,0.0,0.0,0.0,0.0,✅
4,5,7,K11,ORD-CL-202612-000035_18489688    3,"avenida. kennedy 5660, Estación Central, Santiago, Chile","(-33.3992, -70.5751)",1.07,2.6,10:11,"[09:00, 11:00]",11:15,10:11,5.0,90.1,15.1,0.0,0.0,0.0,0.0,✅
4,6,7,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",11.25,27.0,10:43,—,—,—,—,—,—,—,0.0,0.0,—,🏠
