Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Cierre_Relajado,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
1,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
1,1,0,K11,ORD-CL-202612-000331_21037736    2,"calle compania de jesus 1424, Santiago, Santiago, Chile","(-33.4391, -70.6570)",5.77,10.8,09:10,"[09:00, 11:00]",11:30,09:10,5.0,583.1,112.9,0.0,0.0,0.0,0.0,✅
1,2,0,K11,ORD-CL-202612-000078_17126096    0,"calle santo domingo 1055, Providencia, Santiago, Chile","(-33.4364, -70.6522)",0.65,1.2,09:17,"[09:00, 11:00]",11:30,09:17,5.0,301.5,99.6,0.0,0.0,0.0,0.0,✅
1,3,0,K11,ORD-CL-202612-000238_92272831,"calle santo domingo 1221, Vitacura, Santiago, Chile","(-33.4367, -70.6553)",0.27,0.5,09:22,"[09:00, 11:00]",11:30,09:22,5.0,642.0,114.7,0.0,0.0,0.0,0.0,✅
1,4,0,K11,ORD-CL-202612-000290_95787916,"avenida. libertador bernardo o'higgins 2045, Recoleta, Santiago, Chile","(-33.4458, -70.6602)",1.44,2.7,09:30,"[09:00, 21:00]",21:30,09:30,5.0,1508.8,212.3,0.0,0.0,0.0,0.0,✅
1,5,0,K11,ORD-CL-202612-000348_21466765  2,"calle estado 8982, Santiago, Santiago, Chile","(-33.4434, -70.6489)",1.12,2.1,09:37,"[09:00, 21:00]",21:30,09:37,5.0,407.2,68.8,0.0,0.0,0.0,0.0,✅
1,6,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",4.59,8.7,09:51,—,—,—,—,—,—,—,0.0,0.0,—,🏠
1,7,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
1,8,1,K12,ORD-CL-202612-000050_123344208,"calle teatinos 7022, Providencia, Santiago, Chile","(-33.4324, -70.6098)",6.04,12.9,15:12,"[09:00, 21:00]",21:30,15:12,5.0,3376.9,357.9,0.0,0.0,0.0,0.0,✅
1,9,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.82,12.4,15:30,—,—,—,—,—,—,—,0.0,0.0,—,🏠
