Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Cierre_Relajado,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
1,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
1,1,0,K11,ORD-CL-202612-000127_18879635  6,"avenida. independencia 8901, Ñuñoa, Santiago, Chile","(-33.5416, -70.6384)",9.32,17.5,09:17,"[09:00, 11:00]",11:15,09:17,5.0,994.7,159.3,0.0,0.0,0.0,0.0,✅
1,2,0,K11,ORD-CL-202612-000098_14918958  0,"avenida. apoquindo 3829, La Florida, Santiago, Chile","(-33.5531, -70.6104)",3.3,6.2,09:28,"[09:00, 11:00]",11:15,09:28,5.0,804.2,137.6,0.0,0.0,0.0,0.0,✅
1,3,0,K11,ORD-CL-202612-000341_18454880  2,"calle huerfanos 4859, Peñalolén, Santiago, Chile","(-33.4915, -70.5633)",9.96,18.7,09:52,"[09:00, 11:00]",11:15,09:52,5.0,263.9,52.9,0.0,0.0,0.0,0.0,✅
1,4,0,K11,ORD-CL-202612-000398_15558134  2,"avenida. vitacura 5063, Quinta Normal, Santiago, Chile","(-33.3975, -70.5837)",12.06,23.9,10:21,"[09:00, 11:00]",11:15,10:21,5.0,754.5,139.4,0.0,0.0,0.0,0.0,✅
1,5,0,K11,ORD-CL-202612-000451_127640489,"avenida. independencia 3560, Macul, Santiago, Chile","(-33.3958, -70.6719)",10.26,21.2,10:47,"[09:00, 11:00]",11:15,10:47,5.0,660.5,113.0,0.0,0.0,0.0,0.0,✅
1,6,0,K11,ORD-CL-202612-000028_12883674  1,"avenida. irarrazaval 9906, Independencia, Santiago, Chile","(-33.4224, -70.6552)",3.61,7.8,11:00,"[09:00, 11:00]",11:15,11:00,5.0,737.7,149.2,0.0,0.0,0.0,0.0,✅
1,7,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",6.98,15.5,11:20,—,—,—,—,—,—,—,0.0,0.0,—,🏠
1,8,6,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
1,9,6,K12,ORD-CL-202612-000316_199288401,"calle san diego 1862, Peñalolén, Santiago, Chile","(-33.4711, -70.6484)",2.26,4.8,15:04,"[11:00, 13:00]",13:15,15:04,5.0,1523.8,152.2,0.0,0.0,0.0,109.8,❌
1,10,6,K12,ORD-CL-202612-000332_19068810    5,"calle san diego 1108, Quinta Normal, Santiago, Chile","(-33.4600, -70.6489)",1.21,2.6,15:12,"[11:00, 13:00]",13:15,15:12,5.0,2157.0,243.1,0.0,0.0,0.0,117.4,❌
1,11,6,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",3.44,7.3,15:24,—,—,—,—,—,—,—,0.0,0.0,—,🏠
2,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
