Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Cierre_Relajado,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
1,0,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:00,—,—,12:00,—,—,—,—,0.0,0.0,—,🚗
1,1,2,K11,ORD-CL-202612-000433_144587463,"avenida. kennedy 9107, Recoleta, Santiago, Chile","(-33.4093, -70.6048)",8.5,20.4,12:20,"[19:00, 21:00]",21:15,18:45,5.0,647.3,78.2,384.6,0.0,0.0,0.0,⏳
1,2,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.45,17.5,19:07,—,—,—,—,—,—,—,0.0,0.0,—,🏠
2,0,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:00,—,—,12:00,—,—,—,—,0.0,0.0,—,🚗
2,1,2,K11,ORD-CL-202612-000242_18454880  2,"calle huerfanos 4859, Peñalolén, Santiago, Chile","(-33.4915, -70.5633)",7.86,18.8,12:18,"[19:00, 21:00]",21:15,18:45,5.0,858.4,125.1,386.2,0.0,0.0,0.0,⏳
2,2,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.14,16.8,19:06,—,—,—,—,—,—,—,0.0,0.0,—,🏠
3,0,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:00,—,—,12:00,—,—,—,—,0.0,0.0,—,🚗
3,1,2,K11,ORD-CL-202612-000202_174462588,"avenida. departamental 6863, Providencia, Santiago, Chile","(-33.5108, -70.5713)",7.98,19.1,12:19,"[19:00, 21:00]",21:15,18:45,5.0,1384.5,162.5,385.9,0.0,0.0,0.0,⏳
3,2,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",8.05,16.7,19:06,—,—,—,—,—,—,—,0.0,0.0,—,🏠
4,0,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:00,—,—,12:00,—,—,—,—,0.0,0.0,—,🚗
4,1,2,K11,ORD-CL-202612-000382_22428951    5,"avenida. matta 2839, Recoleta, Santiago, Chile","(-33.4141, -70.6293)",7.42,17.8,12:17,"[19:00, 21:00]",21:15,18:45,5.0,664.6,70.7,387.2,0.0,0.0,0.0,⏳
4,2,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",7.58,15.7,19:05,—,—,—,—,—,—,—,0.0,0.0,—,🏠
5,0,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:00,—,—,12:00,—,—,—,—,0.0,0.0,—,🚗
5,1,2,K11,ORD-CL-202612-000350_156046228,"calle amunategui 562, Las Condes, Santiago, Chile","(-33.4375, -70.6570)",5.86,14.0,12:14,"[19:00, 21:00]",21:15,18:45,5.0,2991.6,336.0,391.0,0.0,0.0,0.0,⏳
5,2,2,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",6.25,12.9,19:02,—,—,—,—,—,—,—,0.0,0.0,—,🏠
6,0,2,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,14:00,—,—,14:00,—,—,—,—,0.0,0.0,—,🚗
6,1,2,K21,ORD-CL-202612-000228_229301381,"calle huerfanos 4079, Puente Alto, Santiago, Chile","(-33.6069, -70.5307)",19.66,47.2,14:47,"[19:00, 21:00]",21:15,18:45,5.0,373.3,43.6,237.8,0.0,0.0,0.0,⏳
6,2,2,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",19.76,40.9,19:30,—,—,—,—,—,—,—,0.0,0.0,—,🏠
7,0,2,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,14:00,—,—,14:00,—,—,—,—,0.0,0.0,—,🚗
7,1,2,K21,ORD-CL-202612-000162_122210107,"avenida. matta 5052, Puente Alto, Santiago, Chile","(-33.6056, -70.5880)",16.33,39.2,14:39,"[19:00, 21:00]",21:15,18:45,5.0,270.5,40.1,245.8,0.0,0.0,0.0,⏳
7,2,2,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",16.53,34.2,19:24,—,—,—,—,—,—,—,0.0,0.0,—,🏠
8,0,2,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,14:00,—,—,14:00,—,—,—,—,0.0,0.0,—,🚗
8,1,2,K21,ORD-CL-202612-000299_7499857    0,"calle santo domingo 8998, Maipú, Santiago, Chile","(-33.4879, -70.7441)",12.63,30.3,14:30,"[19:00, 21:00]",21:15,18:45,5.0,1535.3,238.8,254.7,0.0,0.0,0.0,⏳
8,2,2,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",12.72,26.3,19:16,—,—,—,—,—,—,—,0.0,0.0,—,🏠
9,0,2,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,14:00,—,—,14:00,—,—,—,—,0.0,0.0,—,🚗
9,1,2,K21,ORD-CL-202612-000080_92129174,"gran avenida jose miguel carrera 9844, Quinta Normal, Santiago, Chile","(-33.5500, -70.6716)",10.92,26.2,14:26,"[19:00, 21:00]",21:15,18:45,5.0,1354.1,235.4,258.8,0.0,0.0,0.0,⏳
9,2,2,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",11.09,23.0,19:12,—,—,—,—,—,—,—,0.0,0.0,—,🏠
10,0,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:00,—,—,12:00,—,—,—,—,0.0,0.0,—,🚗
10,1,1,K11,ORD-CL-202612-000226_11169226  3,"avenida. mapocho 4335, Las Condes, Santiago, Chile","(-33.4309, -70.6939)",9.74,23.3,12:23,"[17:00, 19:00]",19:15,16:45,5.0,2767.4,339.3,261.7,0.0,0.0,0.0,⏳
10,2,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",9.83,20.3,17:10,—,—,—,—,—,—,—,0.0,0.0,—,🏠
11,0,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:00,—,—,12:00,—,—,—,—,0.0,0.0,—,🚗
11,1,1,K11,ORD-CL-202612-000324_14738270  9,"calle arturo prat 3533, Providencia, Santiago, Chile","(-33.3935, -70.6487)",9.64,23.1,12:23,"[17:00, 19:00]",19:15,16:45,5.0,2062.8,298.0,261.9,0.0,0.0,0.0,⏳
11,2,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",9.71,20.1,17:10,—,—,—,—,—,—,—,0.0,0.0,—,🏠
12,0,2,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,14:00,—,—,14:00,—,—,—,—,0.0,0.0,—,🚗
12,1,2,K21,ORD-CL-202612-000314_7894878  8,"calle huerfanos 6471, Quinta Normal, Santiago, Chile","(-33.4438, -70.6958)",9.21,22.1,14:22,"[19:00, 21:00]",21:15,18:45,5.0,3549.6,370.3,262.9,0.0,0.0,0.0,⏳
12,2,2,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",9.26,19.2,19:09,—,—,—,—,—,—,—,0.0,0.0,—,🏠
13,0,8,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:00,—,—,12:00,—,—,—,—,0.0,0.0,—,🚗
13,1,8,K11,ORD-CL-202612-000391_19651236  1,"avenida. pajaritos 235, La Reina, Santiago, Chile","(-33.5248, -70.7570)",15.19,36.3,12:36,"[15:00, 17:00]",17:15,14:45,5.0,1409.3,165.9,128.7,0.0,0.0,0.0,⏳
13,2,8,K11,ORD-CL-202612-000360_107728946,"avenida. pajaritos 1016, San Miguel, Santiago, Chile","(-33.5178, -70.7575)",1.13,2.4,14:52,"[15:00, 17:00]",17:15,14:52,5.0,605.2,73.5,0.0,0.0,0.0,0.0,✅
13,3,8,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",15.41,33.0,15:30,—,—,—,—,—,—,—,0.0,0.0,—,🏠
13,4,2,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,18:00,—,—,18:00,—,—,—,—,0.0,0.0,—,🚗
13,5,2,K12,ORD-CL-202612-000340_10442592    5,"avenida. mapocho 8002, San Miguel, Santiago, Chile","(-33.4223, -70.7506)",15.36,31.8,18:31,"[19:00, 21:00]",21:15,18:45,5.0,480.3,116.9,13.2,0.0,0.0,0.0,⏳
13,6,2,K12,ORD-CL-202612-000326_105840971,"calle san antonio 17, Lo Prado, Santiago, Chile","(-33.4270, -70.7253)",2.6,5.4,18:55,"[19:00, 21:00]",21:15,18:55,5.0,506.7,88.8,0.0,0.0,0.0,0.0,✅
13,7,2,K12,ORD-CL-202612-000396_86524643,"avenida. irarrazaval 228, Estación Central, Santiago, Chile","(-33.4771, -70.6914)",7.9,16.5,19:16,"[19:00, 21:00]",21:15,19:16,5.0,669.7,114.1,0.0,0.0,0.0,0.0,✅
13,8,2,K12,ORD-CL-202612-000268_17170812  3,"avenida. santa rosa 5583, Santiago, Santiago, Chile","(-33.5083, -70.6381)",6.8,14.5,19:36,"[19:00, 21:00]",21:15,19:36,5.0,430.2,71.4,0.0,0.0,0.0,0.0,✅
13,9,2,K12,ORD-CL-202612-000070_16548853    1,"avenida. americo vespucio 6473, Santiago, Santiago, Chile","(-33.5135, -70.5915)",4.77,10.2,19:51,"[19:00, 21:00]",21:15,19:51,5.0,74.6,22.6,0.0,0.0,0.0,0.0,✅
13,10,2,K12,ORD-CL-202612-000215_215424995,"avenida. pajaritos 8543, La Florida, Santiago, Chile","(-33.5203, -70.5784)",2.14,4.6,20:01,"[19:00, 21:00]",21:15,20:01,5.0,392.5,71.9,0.0,0.0,0.0,0.0,✅
13,11,2,K12,ORD-CL-202612-000286_19237467  1,"avenida. kennedy 7565, Peñalolén, Santiago, Chile","(-33.5036, -70.5874)",2.47,5.2,20:11,"[19:00, 21:00]",21:15,20:11,5.0,694.2,85.5,0.0,0.0,0.0,0.0,✅
13,12,2,K12,ORD-CL-202612-000123_5257070  1,"avenida. macul 1756, Maipú, Santiago, Chile","(-33.4708, -70.5985)",4.56,9.5,20:25,"[19:00, 21:00]",21:15,20:25,5.0,167.5,26.6,0.0,0.0,0.0,0.0,✅
13,13,2,K12,ORD-CL-202612-000364_9084968  3,"calle merced 3073, Ñuñoa, Santiago, Chile","(-33.4369, -70.6394)",6.4,13.2,20:44,"[19:00, 21:00]",21:15,20:44,5.0,323.5,40.5,0.0,0.0,0.0,0.0,✅
13,14,2,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",4.32,8.9,20:58,—,—,—,—,—,—,—,0.0,0.0,—,🏠
14,0,4,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:00,—,—,12:00,—,—,—,—,0.0,0.0,—,🚗
14,1,4,K11,ORD-CL-202612-000376_155759597,"avenida. mapocho 4652, Vitacura, Santiago, Chile","(-33.4294, -70.6999)",10.35,24.8,12:24,"[15:00, 17:00]",17:15,14:45,5.0,1249.6,195.3,140.2,0.0,0.0,0.0,⏳
14,2,4,K11,ORD-CL-202612-000282_11677416  6,"calle morande 1655, Quinta Normal, Santiago, Chile","(-33.4346, -70.6826)",2.07,4.4,14:54,"[15:00, 17:00]",17:15,14:54,5.0,775.0,111.3,0.0,0.0,0.0,0.0,✅
14,3,4,K11,ORD-CL-202612-000238_92272831,"calle santo domingo 1221, Vitacura, Santiago, Chile","(-33.4367, -70.6553)",3.14,6.7,15:06,"[15:00, 17:00]",17:15,15:06,5.0,642.0,114.7,0.0,0.0,0.0,0.0,✅
14,4,4,K11,ORD-CL-202612-000077_227169971,"calle compania de jesus 386, Peñalolén, Santiago, Chile","(-33.4392, -70.6588)",0.56,1.2,15:12,"[15:00, 17:00]",17:15,15:12,5.0,684.8,118.3,0.0,0.0,0.0,0.0,✅
14,5,4,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.87,12.5,15:29,—,—,—,—,—,—,—,0.0,0.0,—,🏠
14,6,8,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,17:30,—,—,17:30,—,—,—,—,0.0,0.0,—,🚗
