Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Cierre_Relajado,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
1,0,8,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:25,—,—,12:25,—,—,—,—,0.0,0.0,—,🚗
1,1,8,K21,ORD-CL-202612-000358_15893864  7,"gran avenida jose miguel carrera 572, Recoleta, Santiago, Chile","(-33.5836, -70.6974)",15.55,37.3,13:03,"[13:00, 15:00]",15:15,13:03,5.0,743.3,123.0,0.0,0.0,0.0,0.0,✅
1,2,8,K21,ORD-CL-202612-000360_107728946,"avenida. pajaritos 1016, San Miguel, Santiago, Chile","(-33.5178, -70.7575)",11.67,29.2,13:37,"[15:00, 17:00]",17:15,14:45,5.0,605.2,73.5,67.6,0.0,0.0,0.0,⏳
1,3,8,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",15.41,33.0,15:23,—,—,—,—,—,—,—,0.0,0.0,—,🏠
1,4,2,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,18:45,—,—,18:45,—,—,—,—,0.0,0.0,—,🚗
1,5,2,K22,ORD-CL-202612-000396_86524643,"avenida. irarrazaval 228, Estación Central, Santiago, Chile","(-33.4771, -70.6914)",6.86,14.2,19:00,"[19:00, 21:00]",21:15,19:00,5.0,669.7,114.1,0.0,0.0,0.0,0.0,✅
1,6,2,K22,ORD-CL-202612-000080_92129174,"gran avenida jose miguel carrera 9844, Quinta Normal, Santiago, Chile","(-33.5500, -70.6716)",10.56,22.1,19:27,"[19:00, 21:00]",21:15,19:27,5.0,1354.1,235.4,0.0,0.0,0.0,0.0,✅
1,7,2,K22,ORD-CL-202612-000162_122210107,"avenida. matta 5052, Puente Alto, Santiago, Chile","(-33.6056, -70.5880)",12.87,27.6,19:59,"[19:00, 21:00]",21:15,19:59,5.0,270.5,40.1,0.0,0.0,0.0,0.0,✅
1,8,2,K22,ORD-CL-202612-000228_229301381,"calle huerfanos 4079, Puente Alto, Santiago, Chile","(-33.6069, -70.5307)",6.29,13.2,20:17,"[19:00, 21:00]",21:15,20:17,5.0,373.3,43.6,0.0,0.0,0.0,0.0,✅
1,9,2,K22,ORD-CL-202612-000215_215424995,"avenida. pajaritos 8543, La Florida, Santiago, Chile","(-33.5203, -70.5784)",11.97,24.8,20:47,"[19:00, 21:00]",21:15,20:47,5.0,392.5,71.9,0.0,0.0,0.0,0.0,✅
1,10,2,K22,ORD-CL-202612-000070_16548853    1,"avenida. americo vespucio 6473, Santiago, Santiago, Chile","(-33.5135, -70.5915)",1.96,4.1,20:56,"[19:00, 21:00]",21:15,20:56,5.0,74.6,22.6,0.0,0.0,0.0,0.0,✅
1,11,2,K22,ORD-CL-202612-000268_17170812  3,"avenida. santa rosa 5583, Santiago, Santiago, Chile","(-33.5083, -70.6381)",4.76,9.8,21:11,"[19:00, 21:00]",21:15,21:11,5.0,430.2,71.4,0.0,0.0,0.0,0.0,✅
1,12,2,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",4.85,10.0,21:26,—,—,—,—,—,—,—,0.0,0.0,—,🏠
2,0,5,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:24,—,—,12:24,—,—,—,—,0.0,0.0,—,🚗
2,1,5,K21,ORD-CL-202612-000389_16887774  4,"calle estado 4661, Puente Alto, Santiago, Chile","(-33.6067, -70.5774)",16.23,39.0,13:03,"[13:00, 15:00]",15:15,13:03,5.0,631.0,143.4,0.0,0.0,0.0,0.0,✅
2,2,5,K21,ORD-CL-202612-000318_18216525  2,"avenida. americo vespucio 8124, San Miguel, Santiago, Chile","(-33.5296, -70.6041)",9.72,24.3,13:32,"[13:00, 15:00]",15:15,13:32,5.0,720.1,116.3,0.0,0.0,0.0,0.0,✅
2,3,5,K21,ORD-CL-202612-000051_164454321,"avenida. santa rosa 8652, Peñalolén, Santiago, Chile","(-33.5396, -70.6342)",3.69,9.0,13:46,"[13:00, 15:00]",15:15,13:46,5.0,659.5,85.1,0.0,0.0,0.0,0.0,✅
2,4,5,K21,ORD-CL-202612-000296_8829354    0,"avenida. matta 1351, Macul, Santiago, Chile","(-33.4595, -70.6519)",9.77,23.5,14:15,"[13:00, 15:00]",15:15,14:15,5.0,223.5,36.2,0.0,0.0,0.0,0.0,✅
2,5,5,K21,ORD-CL-202612-000237_22050970  7,"calle san diego 439, Las Condes, Santiago, Chile","(-33.4509, -70.6504)",1.25,3.0,14:23,"[13:00, 15:00]",15:15,14:23,5.0,746.3,98.9,0.0,0.0,0.0,0.0,✅
2,6,5,K21,ORD-CL-202612-000207_70999443,"avenida. pedro de valdivia 2536, Providencia, Santiago, Chile","(-33.4458, -70.6060)",4.43,10.2,14:38,"[13:00, 15:00]",15:15,14:38,5.0,401.3,85.3,0.0,0.0,0.0,0.0,✅
2,7,5,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",4.34,9.4,14:52,—,—,—,—,—,—,—,0.0,0.0,—,🏠
2,8,1,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,18:33,—,—,18:33,—,—,—,—,0.0,0.0,—,🚗
2,9,1,K22,ORD-CL-202612-000299_7499857    0,"calle santo domingo 8998, Maipú, Santiago, Chile","(-33.4879, -70.7441)",12.63,26.1,19:00,"[19:00, 21:00]",21:15,19:00,5.0,1535.3,238.8,0.0,0.0,0.0,0.0,✅
2,10,1,K22,ORD-CL-202612-000159_224497742,"avenida. pajaritos 6316, Providencia, Santiago, Chile","(-33.4668, -70.7285)",3.34,7.0,19:11,"[17:00, 19:00]",19:15,19:11,5.0,359.9,77.2,0.0,0.0,0.0,0.0,✅
2,11,1,K22,ORD-CL-202612-000340_10442592    5,"avenida. mapocho 8002, San Miguel, Santiago, Chile","(-33.4223, -70.7506)",7.31,15.5,19:32,"[19:00, 21:00]",21:15,19:32,5.0,480.3,116.9,0.0,0.0,0.0,0.0,✅
2,12,1,K22,ORD-CL-202612-000326_105840971,"calle san antonio 17, Lo Prado, Santiago, Chile","(-33.4270, -70.7253)",2.6,5.6,19:43,"[19:00, 21:00]",21:15,19:43,5.0,506.7,88.8,0.0,0.0,0.0,0.0,✅
2,13,1,K22,ORD-CL-202612-000382_22428951    5,"avenida. matta 2839, Recoleta, Santiago, Chile","(-33.4141, -70.6293)",11.18,24.0,20:12,"[19:00, 21:00]",21:15,20:12,5.0,664.6,70.7,0.0,0.0,0.0,0.0,✅
2,14,1,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",7.58,15.7,20:32,—,—,—,—,—,—,—,0.0,0.0,—,🏠
3,0,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,10:20,—,—,10:20,—,—,—,—,0.0,0.0,—,🚗
3,1,6,K11,ORD-CL-202612-000344_18429770  6,"calle huerfanos 8536, Puente Alto, Santiago, Chile","(-33.6059, -70.5154)",21.23,43.9,11:04,"[11:00, 13:00]",13:15,11:04,5.0,180.7,47.2,0.0,0.0,0.0,0.0,✅
3,2,6,K11,ORD-CL-202612-000273_7972328  1,"avenida. la florida 9292, Independencia, Santiago, Chile","(-33.5361, -70.5730)",11.6,25.8,11:34,"[11:00, 13:00]",13:15,11:34,5.0,81.8,14.6,0.0,0.0,0.0,0.0,✅
3,3,6,K11,ORD-CL-202612-000073_141729028,"calle arturo prat 4790, La Florida, Santiago, Chile","(-33.5314, -70.5914)",2.09,4.8,11:44,"[11:00, 13:00]",13:15,11:44,5.0,657.1,73.8,0.0,0.0,0.0,0.0,✅
3,4,6,K11,ORD-CL-202612-000370_172258899,"avenida. tobalaba 9535, Peñalolén, Santiago, Chile","(-33.4622, -70.5520)",10.26,23.9,12:13,"[11:00, 13:00]",13:15,12:13,5.0,1274.3,194.0,0.0,0.0,0.0,0.0,✅
3,5,6,K11,ORD-CL-202612-000099_20827561  3,"avenida. macul 2508, La Reina, Santiago, Chile","(-33.4776, -70.5988)",5.98,14.4,12:32,"[11:00, 13:00]",13:15,12:32,5.0,1403.1,189.6,0.0,0.0,0.0,0.0,✅
3,6,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",3.38,8.2,12:46,—,—,—,—,—,—,—,0.0,0.0,—,🏠
3,7,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
3,8,4,K12,ORD-CL-202612-000492_58051649,"avenida. departamental 4173, La Reina, Santiago, Chile","(-33.5123, -70.5511)",9.86,21.1,15:21,"[15:00, 17:00]",17:15,15:21,5.0,693.9,95.7,0.0,0.0,0.0,0.0,✅
3,9,4,K12,ORD-CL-202612-000337_18193416    1,"calle amunategui 7500, Puente Alto, Santiago, Chile","(-33.5606, -70.5621)",7.43,15.7,15:41,"[15:00, 17:00]",17:15,15:41,5.0,256.3,36.5,0.0,0.0,0.0,0.0,✅
