Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Cierre_Relajado,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
1,0,8,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:25,—,—,12:25,—,—,—,—,0.0,0.0,—,🚗
1,1,8,K21,ORD-CL-202612-000358_15893864  7,"gran avenida jose miguel carrera 572, Recoleta, Santiago, Chile","(-33.5836, -70.6974)",15.55,37.3,13:03,"[13:00, 15:00]",15:15,13:03,5.0,743.3,123.0,0.0,0.0,0.0,0.0,✅
1,2,8,K21,ORD-CL-202612-000360_107728946,"avenida. pajaritos 1016, San Miguel, Santiago, Chile","(-33.5178, -70.7575)",11.67,29.2,13:37,"[15:00, 17:00]",17:15,14:45,5.0,605.2,73.5,67.6,0.0,0.0,0.0,⏳
1,3,8,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",15.41,33.0,15:23,—,—,—,—,—,—,—,0.0,0.0,—,🏠
1,4,2,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,18:43,—,—,18:43,—,—,—,—,0.0,0.0,—,🚗
1,5,2,K22,ORD-CL-202612-000202_174462588,"avenida. departamental 6863, Providencia, Santiago, Chile","(-33.5108, -70.5713)",7.98,16.5,19:00,"[19:00, 21:00]",21:15,19:00,5.0,1384.5,162.5,0.0,0.0,0.0,0.0,✅
1,6,2,K22,ORD-CL-202612-000109_14004266  5,"calle san diego 9520, La Florida, Santiago, Chile","(-33.5342, -70.5835)",4.48,9.4,19:14,"[17:00, 19:00]",19:15,19:14,5.0,193.8,36.2,0.0,0.0,0.0,0.0,✅
1,7,2,K22,ORD-CL-202612-000228_229301381,"calle huerfanos 4079, Puente Alto, Santiago, Chile","(-33.6069, -70.5307)",11.28,24.0,19:43,"[19:00, 21:00]",21:15,19:43,5.0,373.3,43.6,0.0,0.0,0.0,0.0,✅
1,8,2,K22,ORD-CL-202612-000162_122210107,"avenida. matta 5052, Puente Alto, Santiago, Chile","(-33.6056, -70.5880)",6.16,13.2,20:01,"[19:00, 21:00]",21:15,20:01,5.0,270.5,40.1,0.0,0.0,0.0,0.0,✅
1,9,2,K22,ORD-CL-202612-000080_92129174,"gran avenida jose miguel carrera 9844, Quinta Normal, Santiago, Chile","(-33.5500, -70.6716)",12.85,27.0,20:33,"[19:00, 21:00]",21:15,20:33,5.0,1354.1,235.4,0.0,0.0,0.0,0.0,✅
1,10,2,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",11.09,23.0,21:01,—,—,—,—,—,—,—,0.0,0.0,—,🏠
2,0,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,10:44,—,—,10:44,—,—,—,—,0.0,0.0,—,🚗
2,1,6,K11,ORD-CL-202612-000465_153051228,"calle morande 7758, Estación Central, Santiago, Chile","(-33.4594, -70.6985)",8.44,17.8,11:01,"[11:00, 13:00]",13:15,11:01,5.0,512.0,185.6,0.0,0.0,0.0,0.0,✅
2,2,6,K11,ORD-CL-202612-000356_88277359,"avenida. pajaritos 4700, Macul, Santiago, Chile","(-33.4789, -70.7432)",5.21,11.6,11:18,"[11:00, 13:00]",13:15,11:18,5.0,1230.0,168.3,0.0,0.0,0.0,0.0,✅
2,3,6,K11,ORD-CL-202612-000304_8829317  5,"avenida. providencia 4618, La Reina, Santiago, Chile","(-33.4830, -70.7438)",0.54,1.2,11:24,"[11:00, 13:00]",13:15,11:24,5.0,1735.7,214.1,0.0,0.0,0.0,0.0,✅
2,4,6,K11,ORD-CL-202612-000344_18429770  6,"calle huerfanos 8536, Puente Alto, Santiago, Chile","(-33.6059, -70.5154)",29.68,65.9,12:35,"[11:00, 13:00]",13:15,12:35,5.0,180.7,47.2,0.0,0.0,0.0,0.0,✅
2,5,6,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",21.34,52.2,13:32,—,—,—,—,—,—,—,0.0,0.0,—,🏠
3,0,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
3,1,4,K12,ORD-CL-202612-000321_17328690  8,"avenida. departamental 8533, Ñuñoa, Santiago, Chile","(-33.5131, -70.6220)",5.16,11.1,15:11,"[15:00, 17:00]",17:15,15:11,5.0,975.5,161.2,0.0,0.0,0.0,0.0,✅
3,2,4,K12,ORD-CL-202612-000263_13775682    8,"calle monjitas 6910, Puente Alto, Santiago, Chile","(-33.6067, -70.5774)",12.6,26.9,15:42,"[15:00, 17:00]",17:15,15:42,5.0,232.1,62.6,0.0,0.0,0.0,0.0,✅
3,3,4,K12,ORD-CL-202612-000337_18193416    1,"calle amunategui 7500, Puente Alto, Santiago, Chile","(-33.5606, -70.5621)",7.01,14.5,16:02,"[15:00, 17:00]",17:15,16:02,5.0,256.3,36.5,0.0,0.0,0.0,0.0,✅
3,4,4,K12,ORD-CL-202612-000492_58051649,"avenida. departamental 4173, La Reina, Santiago, Chile","(-33.5123, -70.5511)",7.41,15.3,16:22,"[15:00, 17:00]",17:15,16:22,5.0,693.9,95.7,0.0,0.0,0.0,0.0,✅
3,5,4,K12,ORD-CL-202612-000297_11020590  6,"avenida. libertador bernardo o'higgins 6436, Las Condes, Santiago, Chile","(-33.4133, -70.5747)",13.14,27.2,16:54,"[15:00, 17:00]",17:15,16:54,5.0,986.2,123.1,0.0,0.0,0.0,0.0,✅
3,6,4,K12,ORD-CL-202612-000311_7891477  2,"avenida. providencia 5573, Providencia, Santiago, Chile","(-33.4283, -70.6191)",4.79,9.9,17:09,"[15:00, 17:00]",17:15,17:09,5.0,511.8,118.6,0.0,0.0,0.0,0.0,✅
3,7,4,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.68,11.7,17:26,—,—,—,—,—,—,—,0.0,0.0,—,🏠
4,0,5,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,12:41,—,—,12:41,—,—,—,—,0.0,0.0,—,🚗
4,1,5,K21,ORD-CL-202612-000190_145443005,"calle morande 5902, Quinta Normal, Santiago, Chile","(-33.4346, -70.6826)",8.56,21.0,13:02,"[13:00, 15:00]",15:15,13:02,5.0,1558.0,217.2,0.0,0.0,0.0,0.0,✅
4,2,5,K21,ORD-CL-202612-000051_164454321,"avenida. santa rosa 8652, Peñalolén, Santiago, Chile","(-33.5396, -70.6342)",14.71,36.8,13:43,"[13:00, 15:00]",15:15,13:43,5.0,659.5,85.1,0.0,0.0,0.0,0.0,✅
4,3,5,K21,ORD-CL-202612-000389_16887774  4,"calle estado 4661, Puente Alto, Santiago, Chile","(-33.6067, -70.5774)",11.39,27.5,14:16,"[13:00, 15:00]",15:15,14:16,5.0,631.0,143.4,0.0,0.0,0.0,0.0,✅
4,4,5,K21,ORD-CL-202612-000318_18216525  2,"avenida. americo vespucio 8124, San Miguel, Santiago, Chile","(-33.5296, -70.6041)",9.72,23.0,14:44,"[13:00, 15:00]",15:15,14:44,5.0,720.1,116.3,0.0,0.0,0.0,0.0,✅
4,5,5,K21,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",7.54,16.2,15:05,—,—,—,—,—,—,—,0.0,0.0,—,🏠
4,6,2,K22,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,18:50,—,—,18:50,—,—,—,—,0.0,0.0,—,🚗
4,7,2,K22,ORD-CL-202612-000364_9084968  3,"calle merced 3073, Ñuñoa, Santiago, Chile","(-33.4369, -70.6394)",4.4,9.1,19:00,"[19:00, 21:00]",21:15,19:00,5.0,323.5,40.5,0.0,0.0,0.0,0.0,✅
4,8,2,K22,ORD-CL-202612-000433_144587463,"avenida. kennedy 9107, Recoleta, Santiago, Chile","(-33.4093, -70.6048)",4.92,10.3,19:15,"[19:00, 21:00]",21:15,19:15,5.0,647.3,78.2,0.0,0.0,0.0,0.0,✅
4,9,2,K22,ORD-CL-202612-000123_5257070  1,"avenida. macul 1756, Maipú, Santiago, Chile","(-33.4708, -70.5985)",7.24,15.4,19:35,"[19:00, 21:00]",21:15,19:35,5.0,167.5,26.6,0.0,0.0,0.0,0.0,✅
4,10,2,K22,ORD-CL-202612-000242_18454880  2,"calle huerfanos 4859, Peñalolén, Santiago, Chile","(-33.4915, -70.5633)",5.16,11.1,19:51,"[19:00, 21:00]",21:15,19:51,5.0,858.4,125.1,0.0,0.0,0.0,0.0,✅
4,11,2,K22,ORD-CL-202612-000215_215424995,"avenida. pajaritos 8543, La Florida, Santiago, Chile","(-33.5203, -70.5784)",4.72,10.0,20:06,"[19:00, 21:00]",21:15,20:06,5.0,392.5,71.9,0.0,0.0,0.0,0.0,✅
4,12,2,K22,ORD-CL-202612-000070_16548853    1,"avenida. americo vespucio 6473, Santiago, Santiago, Chile","(-33.5135, -70.5915)",1.96,4.1,20:15,"[19:00, 21:00]",21:15,20:15,5.0,74.6,22.6,0.0,0.0,0.0,0.0,✅
