Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Cierre_Relajado,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
1,0,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
1,1,1,K11,ORD-CL-202612-000563_6534246  7,"avenida. independencia 8549, Quinta Normal, Santiago, Chile","(-33.4247, -70.6548)",6.65,17.4,09:17,"[09:00, 21:00]",21:15,09:17,5.0,2236.3,284.0,0.0,0.0,0.0,0.0,✅
1,2,1,K11,ORD-CL-202612-000581_68915259,"avenida. libertador bernardo o'higgins 9532, Vitacura, Santiago, Chile","(-33.4451, -70.6574)",3.2,8.3,09:30,"[09:00, 11:00]",11:15,09:30,5.0,1199.4,202.0,0.0,0.0,0.0,0.0,✅
1,3,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.46,14.2,09:49,—,—,—,—,—,—,—,0.0,0.0,—,🏠
1,4,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
1,5,1,K12,ORD-CL-202612-000475_160536029,"calle amunategui 4142, Providencia, Santiago, Chile","(-33.4324, -70.6098)",6.04,13.9,15:13,"[09:00, 21:00]",21:15,15:13,5.0,1950.8,308.6,0.0,0.0,0.0,0.0,✅
1,6,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.82,13.6,15:32,—,—,—,—,—,—,—,0.0,0.0,—,🏠
2,0,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
2,1,0,K11,ORD-CL-202612-000767_187722912,"calle san antonio 7092, La Florida, Santiago, Chile","(-33.5219, -70.6018)",6.35,16.6,09:16,"[09:00, 21:00]",21:15,09:16,5.0,448.6,68.9,0.0,0.0,0.0,0.0,✅
2,2,0,K11,ORD-CL-202612-000538_110465405,"avenida. santa rosa 7373, Ñuñoa, Santiago, Chile","(-33.5260, -70.6359)",3.37,8.8,09:30,"[09:00, 21:00]",21:15,09:30,5.0,2437.5,327.8,0.0,0.0,0.0,0.0,✅
2,3,0,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",6.9,18.0,09:53,—,—,—,—,—,—,—,0.0,0.0,—,🏠
2,4,5,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
2,5,5,K12,ORD-CL-202612-000429_191198860,"avenida. irarrazaval 2943, Peñalolén, Santiago, Chile","(-33.4534, -70.5709)",6.9,15.9,15:15,"[13:00, 15:00]",15:15,15:15,5.0,1131.6,208.6,0.0,0.0,0.0,0.9,❌
2,6,5,K12,ORD-CL-202612-000770_13892478  4,"avenida. irarrazaval 8356, Vitacura, Santiago, Chile","(-33.4534, -70.5709)",0.0,0.0,15:20,"[13:00, 15:00]",15:15,15:20,5.0,1954.8,233.2,0.0,0.0,0.0,5.9,❌
2,7,5,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",6.76,15.9,15:41,—,—,—,—,—,—,—,0.0,0.0,—,🏠
3,0,4,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
3,1,4,K11,ORD-CL-202612-000609_186687792,"calle san antonio 544, Las Condes, Santiago, Chile","(-33.3746, -70.5094)",18.16,47.4,09:47,"[09:00, 11:00]",11:15,09:47,5.0,1249.1,178.7,0.0,0.0,0.0,0.0,✅
3,2,4,K11,ORD-CL-202612-000498_165138806,"avenida. las condes 6382, Vitacura, Santiago, Chile","(-33.3820, -70.5322)",3.14,7.9,10:00,"[09:00, 21:00]",21:15,10:00,5.0,1814.2,251.5,0.0,0.0,0.0,0.0,✅
3,3,4,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",15.24,37.1,10:42,—,—,—,—,—,—,—,0.0,0.0,—,🏠
3,4,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
3,5,1,K12,ORD-CL-202612-000607_16426911    9,"avenida. independencia 2471, Ñuñoa, Santiago, Chile","(-33.4034, -70.6635)",9.2,21.2,15:21,"[09:00, 21:00]",21:15,15:21,5.0,5463.4,585.3,0.0,0.0,0.0,0.0,✅
3,6,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",9.28,21.8,15:48,—,—,—,—,—,—,—,0.0,0.0,—,🏠
4,0,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
