Vehiculo_Fisico,Secuencia,Cluster_Visitado,Clase_K,Nodo,Direccion,Coordenadas,Distancia_Recorrida_km,Tiempo_Viaje_min,Hora_Llegada,Ventana,Cierre_Relajado,Inicio_Servicio,Tiempo_Servicio_min,Vol_L,Peso_kg,Tiempo_Espera_min,Violacion_Vol,Violacion_Peso,Violacion_Ventana_min,Estado
1,0,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
1,1,1,K11,ORD-CL-202612-000568_6256899  1,"calle teatinos 3427, Lo Prado, Santiago, Chile","(-33.4447, -70.6542)",5.12,13.4,09:13,"[09:00, 21:00]",21:15,09:13,5.0,1402.3,226.2,0.0,0.0,0.0,0.0,✅
1,2,1,K11,ORD-CL-202612-000581_68915259,"avenida. libertador bernardo o'higgins 9532, Vitacura, Santiago, Chile","(-33.4451, -70.6574)",0.31,0.8,09:19,"[09:00, 11:00]",11:15,09:19,5.0,1199.4,202.0,0.0,0.0,0.0,0.0,✅
1,3,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.46,14.2,09:38,—,—,—,—,—,—,—,0.0,0.0,—,🏠
1,4,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
1,5,1,K12,ORD-CL-202612-000540_117828051,"calle teatinos 51, Providencia, Santiago, Chile","(-33.4424, -70.6545)",5.25,12.1,15:12,"[09:00, 21:00]",21:15,15:12,5.0,4374.8,563.5,0.0,0.0,0.0,0.0,✅
1,6,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.35,12.4,15:29,—,—,—,—,—,—,—,0.0,0.0,—,🏠
2,0,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
2,1,1,K11,ORD-CL-202612-000317_18807122  0,"avenida. irarrazaval 3792, Las Condes, Santiago, Chile","(-33.4552, -70.5901)",5.05,13.2,09:13,"[09:00, 21:00]",21:15,09:13,5.0,1783.0,269.1,0.0,0.0,0.0,0.0,✅
2,2,1,K11,ORD-CL-202612-000367_18208456  5,"avenida. irarrazaval 2396, Macul, Santiago, Chile","(-33.4539, -70.6063)",1.47,3.8,09:22,"[09:00, 21:00]",21:15,09:22,5.0,939.0,128.5,0.0,0.0,0.0,0.0,✅
2,3,1,K11,ORD-CL-202612-000521_9867745  4,"avenida. pedro de valdivia 1553, Maipú, Santiago, Chile","(-33.4370, -70.6079)",2.01,5.2,09:32,"[09:00, 21:00]",21:15,09:32,5.0,1170.1,153.4,0.0,0.0,0.0,0.0,✅
2,4,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.31,13.8,09:51,—,—,—,—,—,—,—,0.0,0.0,—,🏠
2,5,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
2,6,1,K12,ORD-CL-202612-000403_147636883,"gran avenida jose miguel carrera 5636, La Reina, Santiago, Chile","(-33.5057, -70.6554)",5.69,13.1,15:13,"[09:00, 21:00]",21:15,15:13,5.0,816.8,135.2,0.0,0.0,0.0,0.0,✅
2,7,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",5.89,13.7,15:31,—,—,—,—,—,—,—,0.0,0.0,—,🏠
3,0,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
3,1,1,K11,ORD-CL-202612-000607_16426911    9,"avenida. independencia 2471, Ñuñoa, Santiago, Chile","(-33.4034, -70.6635)",9.2,24.0,09:24,"[09:00, 21:00]",21:15,09:24,5.0,5463.4,585.3,0.0,0.0,0.0,0.0,✅
3,2,1,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",9.28,24.2,09:53,—,—,—,—,—,—,—,0.0,0.0,—,🏠
3,3,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,15:00,—,—,15:00,—,—,—,—,0.0,0.0,—,🚗
3,4,1,K12,ORD-CL-202612-000563_6534246  7,"avenida. independencia 8549, Quinta Normal, Santiago, Chile","(-33.4247, -70.6548)",6.65,15.4,15:15,"[09:00, 21:00]",21:15,15:15,5.0,2236.3,284.0,0.0,0.0,0.0,0.0,✅
3,5,1,K12,ORD-CL-202612-000416_194645093,"avenida. libertador bernardo o'higgins 2778, Recoleta, Santiago, Chile","(-33.3979, -70.6573)",3.45,8.0,15:28,"[09:00, 21:00]",21:15,15:28,5.0,1449.0,217.1,0.0,0.0,0.0,0.0,✅
3,6,1,K12,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",9.79,23.2,15:56,—,—,—,—,—,—,—,0.0,0.0,—,🏠
4,0,5,K11,DEPOT_01_BASE,Base Depósito,"(-33.4713, -70.6268)",0.0,0.0,09:00,—,—,09:00,—,—,—,—,0.0,0.0,—,🚗
4,1,5,K11,ORD-CL-202612-000737_55489149,"avenida. pedro de valdivia 9132, La Florida, Santiago, Chile","(-33.4927, -70.6065)",3.77,9.8,09:09,"[09:00, 11:00]",11:15,09:09,5.0,211.1,63.0,0.0,0.0,0.0,0.0,✅
4,2,5,K11,ORD-CL-202612-000499_83318915,"avenida grecia 8650, Independencia, Santiago, Chile","(-33.4756, -70.5434)",7.82,20.4,09:35,"[09:00, 11:00]",11:15,09:35,5.0,3606.3,439.2,0.0,0.0,0.0,0.0,✅
4,3,5,K11,ORD-CL-202612-000354_219892137,"calle bandera 7093, Quinta Normal, Santiago, Chile","(-33.4613, -70.5554)",2.67,7.0,09:47,"[09:00, 11:00]",11:15,09:47,5.0,541.8,52.1,0.0,0.0,0.0,0.0,✅
